index	#1 String	#2 String
1	The rain had only ceased with the gray streaks of morning at Blazing Star, and the settlement awoke to a moral sense of cleanliness, and the finding of forgotten knives, tin cups, and smaller camp utensils, where the heavy showers had washed away the debris and dust heaps before the cabin doors .	Indeed, it was recorded in Blazing Star that a fortunate early riser had once picked up on the highway a solid chunk of gold quartz which the rain had freed from its incumbering soil, and washed into immediate and glittering popularity.
2	Indeed, it was recorded in Blazing Star that a fortunate early riser had once picked up on the highway a solid chunk of gold quartz which the rain had freed from its incumbering soil, and washed into immediate and glittering popularity.	Possibly this may have been the reason why early risers in that locality, during the rainy season, adopted a thoughtful habit of body, and seldom lifted their eyes to the rifted or india-ink washed skies above them.
3	Possibly this may have been the reason why early risers in that locality, during the rainy season, adopted a thoughtful habit of body, and seldom lifted their eyes to the rifted or india-ink washed skies above them.	"Cass" Beard had risen early that morning, but not with a view to discovery.
4	"Cass" Beard had risen early that morning, but not with a view to discovery.	A leak in his cabin roof,--quite consistent with his careless, improvident habits,--had roused him at 4 A. M., with a flooded "bunk" and wet blankets.
5	A leak in his cabin roof,--quite consistent with his careless, improvident habits,--had roused him at 4 A. M., with a flooded "bunk" and wet blankets.	The chips from his wood pile refused to kindle a fire to dry his bed-clothes, and he had recourse to a more provident neighbor's to supply the deficiency.
6	The chips from his wood pile refused to kindle a fire to dry his bed-clothes, and he had recourse to a more provident neighbor's to supply the deficiency.	This was nearly opposite.
7	This was nearly opposite.	Mr. Cassius crossed the highway, and stopped suddenly.
8	Mr. Cassius crossed the highway, and stopped suddenly.	Something glittered in the nearest red pool before him.
9	Something glittered in the nearest red pool before him.	Gold, surely!
10	Gold, surely!	But, wonderful to relate, not an irregular, shapeless fragment of crude ore, fresh from Nature's crucible, but a bit of jeweler's handicraft in the form of a plain gold ring.
11	But, wonderful to relate, not an irregular, shapeless fragment of crude ore, fresh from Nature's crucible, but a bit of jeweler's handicraft in the form of a plain gold ring.	Looking at it more attentively, he saw that it bore the inscription, "May to Cass."
12	Looking at it more attentively, he saw that it bore the inscription, "May to Cass."	From my youth I felt in me a soul above the matter-entangled herd.
13	She revealed to me the glorious fact, that I am a spark of Divinity itself.	Mr. Cassius crossed the highway, and stopped suddenly.
14	Mr. Cassius crossed the highway, and stopped suddenly.	There is a philosophic pleasure in opening one's treasures to the modest young.
15	Hi, nice to meet you!	Nice to meet you too.
